,Unnamed: 0,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
4539,4539,718,France,Female,37,7,0.0,2,1,1,55100.09,0
1639,1639,504,Germany,Male,32,8,170291.22,2,0,1,15658.99,0
6539,6539,697,France,Female,45,1,0.0,2,1,0,46807.62,1
5293,5293,604,Spain,Female,41,10,0.0,2,1,1,166224.39,0
917,917,646,France,Female,45,3,47134.75,1,1,1,57236.44,0
2273,2273,726,Spain,Female,27,7,123826.07,1,0,1,78970.58,0
6897,6897,492,France,Female,48,6,127253.98,1,1,1,92144.09,1
2994,2994,625,France,Female,39,3,130786.92,1,0,1,121316.07,0
238,238,668,France,Female,46,2,0.0,3,1,0,89048.46,1
8749,8749,683,France,Male,47,1,0.0,2,1,0,148989.15,0
9717,9717,757,Spain,Male,30,3,145396.49,1,0,1,198341.15,0
5239,5239,766,Germany,Male,44,3,116822.7,1,0,0,197643.24,0
3099,3099,696,Spain,Male,60,8,88786.81,1,1,1,196858.4,0
6106,6106,762,Germany,Male,28,3,125155.83,2,1,1,106024.02,0
5313,5313,783,France,Female,72,5,121215.9,2,1,1,105206.48,0
7551,7551,626,France,Female,37,2,133968.96,2,1,0,148689.65,0
8493,8493,753,Germany,Female,46,9,113909.69,3,1,0,92320.37,1
7728,7728,616,France,Female,31,8,0.0,1,0,1,76456.17,0
633,633,540,Germany,Male,44,3,164113.04,2,1,1,12120.79,0
799,799,601,Germany,Female,42,9,133636.16,1,0,1,103315.74,0
5240,5240,597,France,Female,24,1,103219.47,1,1,0,60420.07,0
7462,7462,610,France,Male,40,9,0.0,1,1,1,149602.54,0
9661,9661,675,France,Female,39,6,0.0,2,0,0,83419.15,0
1741,1741,747,France,Female,25,4,0.0,2,0,1,42039.67,0
5009,5009,656,Spain,Male,33,4,0.0,2,1,0,116706.0,0
3047,3047,784,Spain,Male,48,7,0.0,2,1,1,182609.97,0
8133,8133,720,France,Female,34,3,118307.57,2,1,1,136120.29,0
9872,9872,588,Spain,Male,37,2,0.0,2,0,1,187816.59,0
3334,3334,671,France,Male,27,5,0.0,2,0,0,120893.07,0
2878,2878,487,Spain,Female,36,1,140137.15,1,1,0,194073.33,0
6809,6809,684,France,Female,26,5,87098.91,1,0,0,106095.82,0
2450,2450,589,France,Female,46,10,107238.85,2,1,0,37024.28,0
2519,2519,612,Spain,Female,62,0,167026.61,2,1,1,192892.05,0
432,432,548,Germany,Female,33,0,101084.36,1,1,0,42749.85,0
3228,3228,583,France,Female,29,10,0.0,2,1,1,111285.85,0
4647,4647,781,France,Female,28,4,0.0,2,1,0,177703.15,0
8448,8448,508,France,Male,49,1,93817.41,2,1,1,132468.76,1
9371,9371,641,France,Male,31,9,112494.99,1,1,1,32231.6,0
5265,5265,560,France,Female,27,5,0.0,2,1,0,131919.48,0
742,742,635,France,Male,29,7,105405.97,1,1,1,149853.89,0
7917,7917,613,Germany,Male,38,9,126265.88,2,0,0,15859.95,0
7487,7487,651,France,Female,56,4,0.0,1,0,0,84383.22,1
557,557,598,Germany,Male,41,3,91536.93,1,1,0,191468.78,1
6790,6790,487,Spain,Female,40,6,136093.74,1,0,1,193408.43,0
2553,2553,727,Spain,Male,71,8,0.0,1,1,1,198446.91,1
5824,5824,636,Spain,Male,36,1,0.0,3,1,1,74048.1,1
7686,7686,718,France,Male,48,9,0.0,2,1,1,72105.63,0
8701,8701,673,France,Male,37,2,0.0,1,1,1,13624.02,0
2904,2904,715,France,Female,35,3,0.0,1,1,1,152012.36,0
3841,3841,653,France,Female,60,2,120731.39,4,1,1,138160.11,1
8921,8921,472,France,Female,37,1,0.0,2,1,1,48357.9,0
6293,6293,534,France,Male,27,9,0.0,2,1,0,161344.13,0
7813,7813,684,Germany,Female,63,3,81245.79,1,1,0,69643.31,1
3178,3178,542,France,Female,39,4,109949.39,2,1,1,41268.65,0
2475,2475,627,France,Male,32,10,0.0,2,1,0,103287.62,0
9168,9168,681,France,Female,43,8,154100.3,1,0,0,114659.81,0
3246,3246,638,France,Male,57,6,0.0,1,1,0,33676.48,1
6747,6747,541,France,Male,34,3,128743.55,1,1,0,134851.12,0
8037,8037,547,France,Male,62,10,127738.75,2,1,1,85153.0,0
6830,6830,765,France,Male,43,9,157960.49,2,0,0,136602.8,0
618,618,546,Spain,Male,42,7,139070.51,1,1,1,86945.0,0
6567,6567,662,Spain,Female,54,1,187997.15,1,0,0,111442.71,1
6129,6129,533,Germany,Male,43,4,80442.06,2,0,1,12537.42,0
935,935,619,France,Female,38,3,0.0,2,0,1,116467.35,0
8017,8017,459,Germany,Male,50,5,109387.9,1,1,0,155721.15,0
6092,6092,601,Germany,Male,43,3,141859.12,2,1,1,111249.62,0
5053,5053,636,Germany,Female,28,2,115265.14,1,0,0,191627.85,0
4947,4947,753,France,Female,62,6,0.0,2,1,1,136398.9,0
3301,3301,653,France,Male,34,5,118838.75,1,1,1,52820.13,0
4381,4381,492,France,Male,39,7,0.0,2,0,1,71323.23,0
4494,4494,850,Spain,Male,31,6,82613.56,2,1,0,149170.92,0
262,262,557,France,Female,32,6,184686.41,2,1,0,14956.44,0
6787,6787,502,France,Male,37,10,0.0,1,1,1,76642.68,0
5032,5032,684,Germany,Female,46,3,102955.14,2,1,0,154137.33,0
1969,1969,717,France,Female,36,5,0.0,2,1,1,145551.6,0
7108,7108,806,Spain,Female,37,2,137794.18,2,0,1,75232.02,0
4970,4970,689,Spain,Male,38,2,0.0,1,1,1,82709.8,0
7254,7254,785,France,Male,36,2,0.0,1,0,1,61811.1,0
5155,5155,713,France,Female,42,3,0.0,2,0,0,82565.01,0
835,835,559,France,Male,34,2,137390.11,2,1,0,9677.0,0
8518,8518,599,France,Male,50,3,121159.65,1,0,0,4033.39,1
4752,4752,659,France,Male,54,8,133436.52,1,1,0,56787.8,0
57,57,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0
3188,3188,801,France,Female,32,4,75170.54,1,1,1,37898.5,0
205,205,550,France,Male,37,3,0.0,1,1,1,179670.31,0
2192,2192,845,France,Male,33,8,164385.53,1,1,0,150664.97,0
8669,8669,540,Spain,Male,39,2,0.0,2,1,0,81995.92,0
8757,8757,678,Germany,Female,44,2,98009.13,2,0,1,31384.86,0
6041,6041,775,France,Male,45,8,0.0,1,1,0,130376.68,0
3575,3575,640,France,Female,66,9,116037.76,1,0,1,184636.05,0
9768,9768,714,Germany,Male,54,4,137986.58,2,0,1,51308.54,1
7515,7515,623,France,Female,35,0,130557.24,1,1,1,47880.71,0
7556,7556,738,Spain,Male,49,3,0.0,3,1,1,65066.48,1
1438,1438,504,Germany,Male,56,9,104217.3,1,0,0,55857.48,1
2544,2544,668,Germany,Male,34,5,80242.37,2,0,0,56780.97,0
5643,5643,616,Spain,Female,36,6,0.0,1,1,1,12916.32,1
9632,9632,760,Germany,Female,34,6,58003.41,1,1,0,90346.1,0
3615,3615,415,France,Male,46,9,134950.19,3,0,0,178587.36,1
4787,4787,529,France,Male,42,1,157498.9,1,1,1,82276.62,0
2520,2520,498,Germany,Male,61,7,102453.26,1,1,0,187247.56,1
9156,9156,504,Spain,Female,46,2,163764.84,1,1,1,165122.55,1
7290,7290,536,France,Male,39,4,0.0,2,1,0,27150.35,0
6525,6525,728,France,Male,34,4,106328.08,1,1,0,88680.65,0
9731,9731,607,Germany,Male,29,7,102609.0,1,1,0,163257.44,0
5520,5520,570,France,Female,61,6,142105.35,1,1,1,45214.04,0
9284,9284,633,France,Male,61,3,157201.48,1,0,1,50368.63,0
4190,4190,850,Spain,Female,31,3,121237.65,1,1,1,31022.56,0
650,650,629,France,Female,49,4,0.0,2,1,1,196335.48,0
3581,3581,637,France,Male,33,5,0.0,2,1,0,139947.17,0
5970,5970,470,France,Male,35,1,96473.59,1,0,0,5962.3,0
7069,7069,759,France,Female,46,2,0.0,1,1,1,138380.11,0
887,887,585,France,Male,42,2,0.0,2,1,1,18657.77,0
4189,4189,598,France,Female,32,4,111156.52,1,1,1,167376.26,0
2050,2050,492,France,Female,49,8,0.0,1,1,1,182865.09,1
7070,7070,748,France,Female,39,3,157371.54,1,0,1,97734.3,0
430,430,619,Germany,Male,57,3,137946.39,1,1,1,72467.99,1
8615,8615,658,France,Female,39,4,0.0,1,1,1,147530.06,0
8609,8609,678,France,Male,40,1,0.0,2,1,1,187343.4,0
5288,5288,582,France,Male,30,2,0.0,2,1,1,132029.95,0
5245,5245,717,France,Male,38,7,0.0,2,1,1,158580.05,0
4160,4160,627,Germany,Female,37,7,147361.57,1,1,1,133031.96,0
2034,2034,709,Germany,Male,34,4,148375.19,2,1,1,21521.38,0
1865,1865,760,France,Female,32,7,0.0,2,1,1,105969.05,0
1424,1424,603,Spain,Female,42,8,91611.12,1,0,0,144675.3,1
4564,4564,650,Germany,Male,23,4,93911.3,2,1,0,69055.45,0
8530,8530,808,France,Female,33,2,103516.87,1,1,0,113907.8,0
2106,2106,637,Germany,Female,55,1,123378.2,1,1,0,81431.99,1
974,974,730,France,Male,34,5,122453.37,2,1,0,138882.98,0
7716,7716,684,France,Male,32,9,100249.41,2,0,1,67599.69,0
9538,9538,777,France,Male,29,2,0.0,2,1,0,124489.88,0
8667,8667,557,France,Female,46,4,96173.17,2,1,1,116378.31,0
1343,1343,670,Spain,Male,42,3,81589.04,1,1,0,188227.8,0
5876,5876,704,France,Male,39,2,111525.02,1,1,0,199484.96,0
4198,4198,612,Spain,Male,35,1,0.0,1,1,1,83256.26,1
532,532,729,France,Male,32,6,93694.42,1,1,1,79919.13,0
3244,3244,631,Germany,Female,32,2,146810.99,2,1,1,180990.29,0
502,502,774,France,Male,60,5,85891.55,1,1,0,74135.48,1
2195,2195,798,Spain,Female,58,9,0.0,2,0,0,119071.56,1
991,991,615,France,Female,35,2,97440.02,2,1,1,139816.1,0
9895,9895,684,Germany,Female,56,3,127585.98,3,1,1,80593.49,1
4710,4710,585,Germany,Female,40,3,162261.01,2,1,0,137028.51,0
4323,4323,616,Spain,Female,43,3,120867.18,1,1,0,18761.92,1
3152,3152,644,France,Female,40,9,137285.26,4,1,0,77063.63,1
3427,3427,465,France,Male,41,9,117221.15,1,1,0,168280.95,0
2753,2753,480,France,Female,28,6,0.0,2,0,0,48131.92,0
9180,9180,637,France,Female,44,2,0.0,2,1,0,149665.65,0
9148,9148,698,France,Male,37,8,0.0,2,0,0,145004.39,0
8566,8566,679,France,Female,39,4,0.0,1,0,0,172939.3,1
8976,8976,720,France,Male,29,2,0.0,2,1,0,39925.52,0
6438,6438,679,France,Female,44,3,118742.74,2,1,0,1568.91,0
114,114,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1
5170,5170,814,France,Female,31,4,0.0,2,1,1,142029.17,0
6984,6984,588,France,Male,44,8,154409.74,1,1,0,49324.03,1
5546,5546,786,France,Male,32,9,0.0,2,1,0,133112.41,0
1379,1379,668,Germany,Female,32,10,92041.87,1,1,1,43595.9,0
146,146,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0
8936,8936,567,France,Male,54,9,96402.96,1,0,0,52035.29,1
7000,7000,775,France,Male,28,9,111167.7,1,1,0,149331.01,0
9188,9188,628,Spain,Male,28,4,0.0,2,1,1,176750.81,0
5224,5224,803,Spain,Male,43,3,0.0,1,1,0,72051.44,0
2006,2006,687,France,Male,39,7,0.0,2,1,0,26848.25,0
855,855,523,Spain,Male,32,4,0.0,2,1,0,167848.02,0
1723,1723,630,France,Male,42,6,0.0,2,1,0,162697.93,0
7157,7157,558,France,Male,32,10,105000.23,1,1,0,190019.61,0
5784,5784,631,France,Male,29,2,0.0,2,1,1,18581.84,0
8014,8014,731,Spain,Female,39,2,126816.18,1,1,1,74850.93,0
5327,5327,850,Germany,Female,25,8,69385.17,2,1,0,87834.24,0
4788,4788,757,Spain,Female,44,9,0.0,2,1,0,177528.92,0
7341,7341,850,Spain,Male,54,7,108185.81,2,0,0,24093.4,1
5607,5607,641,Germany,Male,41,7,104405.54,3,1,0,17384.21,0
8136,8136,716,France,Female,38,1,0.0,2,1,1,99661.46,0
7616,7616,610,France,Female,27,4,87262.4,2,1,0,182720.07,0
2540,2540,550,Germany,Female,45,8,111257.59,1,0,0,97623.42,1
9762,9762,708,Germany,Male,21,8,133974.36,2,1,0,50294.09,0
1880,1880,589,Germany,Female,36,9,140355.56,2,1,0,136329.96,0
7003,7003,646,Germany,Female,44,2,113063.83,1,0,0,53072.49,1
94,94,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0
8111,8111,560,France,Female,31,3,115141.18,1,1,0,39806.75,0
6606,6606,792,France,Male,31,6,71269.89,2,0,1,125912.77,0
4615,4615,565,France,Female,44,1,0.0,2,0,1,89602.81,0
5318,5318,744,Spain,Male,31,0,117551.23,1,1,0,158958.9,0
2399,2399,541,Germany,Male,51,7,90373.28,2,1,0,179861.79,0
7995,7995,708,France,Female,67,1,0.0,2,0,1,3837.08,0
8805,8805,850,Spain,Male,39,8,0.0,2,1,1,37090.44,0
9310,9310,651,Spain,Male,47,2,0.0,2,1,1,119808.64,0
7242,7242,664,Spain,Male,44,7,77526.66,3,0,0,57338.56,1
8767,8767,552,France,Male,29,10,0.0,2,1,0,12186.83,0
403,403,443,Spain,Male,36,6,70438.01,2,0,1,56937.43,0
46,46,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1
52,52,788,France,Female,33,5,0.0,2,0,0,116978.19,0
5432,5432,599,Spain,Male,51,0,0.0,1,1,1,175235.99,0
5016,5016,501,France,Female,29,8,0.0,2,1,0,112664.24,0
7780,7780,749,Germany,Female,33,10,76692.22,1,0,1,30396.43,0
750,750,649,France,Male,41,0,0.0,2,0,1,130567.02,0
4250,4250,489,France,Female,38,5,117289.92,1,0,0,85231.88,0
7329,7329,501,France,Female,34,5,0.0,1,1,0,27380.99,0
870,870,535,France,Female,40,8,0.0,1,1,1,27689.77,0
2193,2193,613,France,Male,37,9,108286.5,1,1,1,114153.44,0
4451,4451,578,France,Male,34,4,175111.11,1,1,1,74858.3,0
2919,2919,538,Spain,Female,42,9,0.0,1,0,0,152855.96,0
1549,1549,652,France,Male,48,4,59486.31,1,1,0,163944.18,1
8093,8093,584,France,Male,47,5,0.0,2,1,0,89286.29,0
6925,6925,659,Germany,Male,29,9,82916.48,1,1,1,84133.48,0
7560,7560,512,France,Male,51,6,144953.31,1,1,1,165035.17,0
2163,2163,605,France,Male,35,6,0.0,2,1,1,45206.57,0
3579,3579,778,Germany,Male,31,9,182275.23,2,1,0,190631.23,0
8787,8787,689,Spain,Male,73,1,108555.07,1,0,1,167969.15,0
9980,9980,741,Spain,Male,35,6,74371.49,1,0,0,99595.67,0
6913,6913,564,France,Female,36,7,206329.65,1,1,1,46632.87,1
3052,3052,607,France,Male,35,2,0.0,2,1,1,114190.3,0
5322,5322,721,France,Female,40,7,0.0,2,1,1,122580.48,0
9123,9123,718,France,Male,33,7,102874.28,1,0,0,117841.06,0
5881,5881,794,Spain,Male,31,0,144880.34,2,0,1,175643.44,0
6652,6652,827,France,Male,38,5,0.0,2,0,0,103305.01,0
8995,8995,573,Spain,Male,28,8,0.0,2,0,0,77660.03,0
315,315,474,Spain,Male,37,3,0.0,2,0,0,57175.32,0
9575,9575,483,France,Female,30,9,0.0,2,0,0,136356.97,0
9647,9647,625,France,Male,31,5,0.0,2,0,1,90.07,0
5357,5357,405,Germany,Male,31,5,133299.67,2,1,1,72950.14,0
8332,8332,645,Germany,Male,49,4,160133.88,1,0,1,88391.97,0
4992,4992,794,France,Female,62,9,123681.32,3,1,0,173586.63,1
2694,2694,628,Germany,Male,29,3,113146.98,2,0,1,124749.08,0
9469,9469,713,France,Female,25,4,121172.97,1,1,1,56268.98,0
7439,7439,432,France,Female,27,6,62339.81,2,0,0,53874.67,0
1866,1866,559,France,Female,70,9,0.0,1,1,1,122996.76,0
435,435,762,France,Female,51,3,99286.98,1,0,1,85578.63,0
751,751,758,Germany,Female,47,9,95523.16,1,1,0,73294.48,0
5762,5762,733,Germany,Male,39,5,91538.51,1,1,1,93783.0,0
9658,9658,713,France,Female,39,10,0.0,2,1,1,126263.97,0
2471,2471,626,Germany,Male,49,9,171787.84,2,1,0,187192.23,0
7872,7872,639,Germany,Female,46,10,110031.09,2,1,1,133995.59,0
9706,9706,512,France,Female,30,6,0.0,2,1,0,88827.31,0
6513,6513,513,Spain,Female,41,9,107135.04,2,1,1,160546.58,0
1333,1333,539,Germany,Female,38,8,82407.51,1,1,0,13123.41,0
2056,2056,539,Spain,Male,38,6,0.0,1,1,1,152880.07,1
6696,6696,567,France,Female,48,3,0.0,1,1,0,55362.45,0
3420,3420,680,France,Male,31,1,0.0,2,1,1,3148.2,0
5873,5873,598,France,Female,40,9,0.0,1,1,0,68462.59,1
9959,9959,764,Spain,Male,38,4,113607.47,1,1,0,91094.46,0
3400,3400,676,France,Male,31,3,78990.15,1,1,1,124777.14,0
1032,1032,830,Spain,Male,40,4,0.0,2,0,1,81622.52,0
908,908,685,Spain,Male,31,10,135213.71,1,1,1,125777.28,0
6215,6215,553,Spain,Male,41,6,144974.55,1,1,1,19344.92,0
3512,3512,806,Spain,Male,18,3,0.0,2,1,1,86994.54,0
3279,3279,652,Spain,Male,37,7,0.0,2,1,0,68789.93,0
9018,9018,663,France,Male,67,9,0.0,3,1,1,72318.77,0
5899,5899,639,France,Female,27,2,0.0,2,0,0,125244.18,0
8322,8322,617,France,Female,35,5,0.0,2,0,1,13066.3,0
1644,1644,663,France,Female,37,7,0.0,1,1,1,185210.63,0
287,287,475,France,Female,32,8,119023.28,1,1,0,100816.29,0
5765,5765,520,France,Male,30,3,143396.54,2,1,1,898.51,0
5599,5599,579,Germany,Female,50,5,117721.02,1,0,1,192146.63,1
4444,4444,489,France,Female,31,7,139395.08,1,0,1,6120.84,0
6975,6975,556,Spain,Male,38,2,115463.16,1,1,0,150679.65,0
1585,1585,538,France,Male,33,6,93791.38,1,1,1,199249.29,0
9105,9105,658,France,Male,31,5,100082.14,1,0,1,49809.88,0
2885,2885,660,Spain,Male,42,5,0.0,2,1,0,115509.59,0
2886,2886,449,France,Female,37,6,0.0,2,1,0,82176.48,0
2945,2945,835,Germany,Male,20,4,124365.42,1,0,0,180197.74,1
8768,8768,761,Germany,Male,62,5,98854.34,1,0,0,86920.97,1
375,375,769,France,Female,39,8,0.0,1,0,1,21016.0,0
8250,8250,850,France,Female,35,9,0.0,2,0,0,25329.48,0
6673,6673,729,France,Female,36,8,109106.8,1,0,0,121311.12,0
2995,2995,535,France,Female,29,2,112367.34,1,1,0,185630.76,0
7507,7507,576,Germany,Male,44,9,119530.52,1,1,0,119056.68,1
5813,5813,513,France,Male,30,5,0.0,2,1,0,162523.66,0
1516,1516,646,France,Female,37,7,96558.66,1,0,0,163427.18,0
2977,2977,505,Spain,Female,45,9,131355.3,3,1,0,195395.33,1
7237,7237,684,France,Female,43,7,0.0,2,1,0,131093.99,0
7973,7973,592,Germany,Male,31,7,124593.23,1,1,0,86079.67,0
9131,9131,775,France,Female,27,4,152309.37,1,1,0,104112.0,0
4241,4241,793,Spain,Male,63,0,0.0,2,0,1,27166.75,0
6954,6954,611,France,Male,38,7,0.0,1,1,1,63202.0,0
